SampleID	SSPOOL	specimen_id	Pools
MADH084_ES232_8071122404_A52_S303	SSPOOL16	650255	A52
MADH030_ES122_8071120749_A52_S317_L001	SSPOOL4	650258	A52
MADH046_ES361_8071119784_A52_S189	SSPOOL8	650262	A52
MADH046_ES361_8071119784_A52_S285	SSPOOL8	650262	A52
MADH052_ES451_8071097477_A52_S72	SSPOOL13	650267	A52
MADH084_ES451_8071097477_A52_S295	SSPOOL16	650267	A52
MADH052_ES473_8071097792_A52_S66	SSPOOL13	650268	A52
MADH030_ES076_8071088064_A52_S303_L001	SSPOOL4	650301	A52
MADH100_ES092_8071088517_A52_S303	SSPOOL19	650302	A52
MADH029_ES092_8071088517_A52_S223_L001	SSPOOL4	650302	A52
MADH029_ES092_8071088517_A52_S394	SSPOOL5	650302	A52
MADH100_ES078_8071088159_A52_S300	SSPOOL19	650303	A52
MADH039_ES078_8071088159_A52_S337	SSPOOL6	650303	A52
MADH052_ES075_8071088505_A52_S22	SSPOOL13	650304	A52
MADH084_ES075_8071088505_A52_S297	SSPOOL16	650304	A52
MADH052_ES293_8071120852_A52_S50	SSPOOL13	650309	A52
MADH100_ES180_8071121297_A52_S313	SSPOOL19	650313	A52
MADH039_ES180_8071121297_A52_S328	SSPOOL6	650313	A52
MADH051_ES432_8071097926_A52_S249	SSPOOL9	650317	A52
MADH102_ES140_8071121096_A52_S155	SSPOOL20	650323	A52
MADH100_ES448_8071097982_A52_S372	SSPOOL19	650326	A52
MADH051_ES438_8071097617_A52_S202	SSPOOL9	650329	A52
MADH052_ES455_8071120479_A52_S65	SSPOOL13	650332	A52
MADH046_ES264_8071087934_A52_S259	SSPOOL8	650339	A52
MADH046_ES264_8071087934_A52_S163	SSPOOL8	650339	A52
MADH030_ES173_8071121243_A52_S325_L001	SSPOOL4	650343	A52
MADH039_ES046_8071088407_A52_S361	SSPOOL6	650344	A52
MADH030_ES035_8071088774_A52_S281_L001	SSPOOL4	650350	A52
MADH030_ES068_8071088158_A52_S299_L001	SSPOOL4	650351	A52
MADH051_ES425_8071120624_A52_S201	SSPOOL9	650352	A52
MADH052_ES153_8071120878_A52_S32	SSPOOL13	650353	A52
MADH081_ES153_8071120878_A52_S370	SSPOOL15	650353	A52
MADH122_ES153_8073812287_A52_S100	SSPOOL25	650353	A52
MADH100_ES291_8071121388_A52_S333	SSPOOL19	650355	A52
MADH039_ES291_8071121388_A52_S357	SSPOOL6	650355	A52
MADH051_ES441_8071097781_A52_S226	SSPOOL9	650357	A52
MADH051_ES413_8071120560_A52_S200	SSPOOL9	650361	A52
MADH052_ES328_8071120976_A52_S53	SSPOOL13	650362	A52
MADH046_ES212_8071088137_A52_S158	SSPOOL8	650363	A52
MADH046_ES212_8071088137_A52_S254	SSPOOL8	650363	A52
MADH078_650370_8071093715_A52_S173	SSPOOL15	650370	A52
MADH102_650370_8071093800_A52_S136	SSPOOL20	650370	A52
MADH102_650382_8071093929_A52_S138	SSPOOL20	650382	A52
MADH078_650387_8071094188_A52_S148	SSPOOL15	650387	A52
MADH078_650387_8071094295_A52_S101	SSPOOL15	650387	A52
MADH030_ES082_8071088207_A52_S307_L001	SSPOOL4	650402	A52
MADH100_ES263_8071088238_A52_S327	SSPOOL19	650406	A52
MADH046_ES263_8071088238_A52_S151	SSPOOL8	650406	A52
MADH046_ES263_8071088238_A52_S247	SSPOOL8	650406	A52
MADH046_ES237_8071122211_A52_S268	SSPOOL8	650408	A52
MADH046_ES237_8071122211_A52_S172	SSPOOL8	650408	A52
MADH052_ES436_8071097904_A52_S63	SSPOOL13	650417	A52
MADH084_ES436_8071097904_A52_S292	SSPOOL16	650417	A52
MADH039_ES184_8071121054_A52_S378	SSPOOL6	650429	A52
MADH046_ES378_8071120018_A52_S204	SSPOOL8	650449	A52
MADH046_ES378_8071120018_A52_S108	SSPOOL8	650449	A52
MADH052_ES409_8071120077_A52_S62	SSPOOL13	650452	A52
